Idx_Sample;Mixture Code in Ref;FA (kg/m3);GGBFS (kg/m3);Total powder (kg/m3);Coarse aggregate (kg/m3);Fine aggregate (kg/m3);Total aggregates (kg);NaOH (kg);water-eff (kg);Weight mixture (kg);Initial curing temp (C);CO2 emissions (kg/m3) - a-priori;f,c(28d) (MPa) - MD1 Target
1419;FA-60 GGBS- 40 B-450 AGG/B-3.85 ALK/B-0.45 T ºC - 25;270;180;450;972;760,5;1732,5;57,85714286;134,7589286;2413,793214;25;161,3952971;
1420;FA-60 GGBS- 40 B-450 AGG/B-3.85 ALK/B-0.50 T ºC - 25;270;180;450;972;760,5;1732,5;64,28571429;148,5321429;2436,293571;25;173,4854657;
1421;FA-60 GGBS- 40 B-450 AGG/B-3.85 ALK/B-0.55 T ºC - 25;270;180;450;972;760,5;1732,5;70,71428571;162,3053571;2458,803929;25;185,5878543;
1422;FA-60 GGBS- 40 B-450 AGG/B-3.85 ALK/B-0.60 T ºC - 25;270;180;450;972;760,5;1732,5;77,14285714;176,0785714;2481,304286;25;197,6780229;
1423;FA-50 GGBS- 50 B-360 AGG/B-5.18 ALK/B-0.45 T ºC - 25;180;180;360;1090,8;774;1864,8;46,28571429;107,8071429;2409,838571;25;133,1473657;
1424;FA-50 GGBS- 50 B-360 AGG/B-5.18 ALK/B-0.50 T ºC - 25;180;180;360;1090,8;774;1864,8;51,42857143;118,8257143;2427,842857;25;142,8243886;
1425;FA-50 GGBS- 50 B-360 AGG/B-5.18 ALK/B-0.55 T ºC - 25;180;180;360;1090,8;774;1864,8;56,57142857;129,8442857;2445,837143;25;152,4891914;
1426;FA-50 GGBS- 50 B-360 AGG/B-5.18 ALK/B-0.60 T ºC - 25;180;180;360;1090,8;774;1864,8;61,71428571;140,8628571;2463,841429;25;162,1662143;
1427;FA-50 GGBS- 50 B-420 AGG/B-4.23 ALK/B-0.45 T ºC - 25;210;210;420;966;810,6;1776,6;54;125,775;2412,485;25;153,43154;
1428;FA-50 GGBS- 50 B-420 AGG/B-4.23 ALK/B-0.50 T ºC - 25;210;210;420;966;810,6;1776,6;60;138,63;2433,48;25;164,70918;
1429;FA-50 GGBS- 50 B-420 AGG/B-4.23 ALK/B-0.55 T ºC - 25;210;210;420;966;810,6;1776,6;66;151,485;2454,485;25;175,99904;
1430;FA-50 GGBS- 50 B-420 AGG/B-4.23 ALK/B-0.60 T ºC - 25;210;210;420;966;810,6;1776,6;72;164,34;2475,48;25;187,27668;
